,topic,title,author,content
81,entertainment,Saddened: Akshay condoles Hockey legend Balbir Singh Sr's demise,Vidushi Mishra,"Condoling the demise of Indian hockey legend Balbir Singh Sr, who passed away on Monday, Akshay Kumar took to Twitter to share a picture of himself with the late 96-year-old. ""Saddened to hear about [his] demise...[H]ad the good fortune of meeting him in...past, such an amazing personality!"" he wrote. Akshay's 'Gold' was loosely based on three-time Olympic gold medallist's life."
82,entertainment,I've realised importance of physical intimacy: Terence on lockdown,Vidushi Mishra,"Terence Lewis has said the worst part about the lockdown is being single. The 45-year-old choreographer-dancer further said he misses holding hands and ""stealing kisses every now and then"", adding, ""I've realised the importance of physical intimacy."" Talking about how he has been spending time, Terence said, ""I've worked more in the last two months than I...have in...past two years."""
83,entertainment,Nawazuddin had said 'Jo karna hai karo': Aaliya on divorce,Vidushi Mishra,"Nawazuddin Siddiqui's wife Aaliya has revealed that she had called Nawazuddin to tell him about the divorce before sending him the legal notice. ""He replied, 'Jaao jo karna hai karo (Go do what you want to do)',"" she said. Calling Nawazuddin ""not a good person"", Aaliya said, ""He's been disrespecting me all these years...He always...[thought] that I'll never leave him."""
84,entertainment,Cybercrime complaint filed against Devoleena Bhattacharjee,Vidushi Mishra,"Mayur Verma, who was a contestant on reality TV show 'Mujhse Shaadi Karoge', has filed a cybercrime complaint against Devoleena Bhattacharjee, alleging that the 'Bigg Boss 13' contestant tried to defame him. ""She liked a photo on Twitter which was trying to tarnish my image,"" his complaint stated. It added that Devoleena and her fans have trolled Mayur many times."
85,entertainment,"It's our problem too: Sood on sending 12,000 migrants home",Vidushi Mishra,"Sonu Sood, who has sent around 12,000 migrant workers home, has shared he had told the migrants that they are like his family and they will not go home walking. ""This is not just their problem, [it's]...our problem too,"" he added. ""Gods and Angels are the ones who are going...home. Those who are helping are...normal people, including me,"" said Sood. "
86,entertainment,"I've been paying my maid, driver, PR agency despite having no income: Elnaaz",Vidushi Mishra,"Elnaaz Norouzi, who featured in web series 'Sacred Games', has said she has been paying her maid, driver and PR agency, among others, despite having no income amid coronavirus pandemic. The Iranian-German actress, who is living in Germany, added, ""I'm not [in India] to use much of it but...costs are there."" ""So financially it's getting a little tough,"" said Elnaaz."
87,entertainment,"Ok husband but great father, jokes Farah on husband's b'day",Vidushi Mishra,"Farah Khan took to Instagram to share an old picture of herself with husband Shirish Kunder to wish him on his 47th birthday. ""Even when the world is upside down and things look like they're off track..remember it's all good..because I got your back!"" the 55-year-old filmmaker wrote. ""Happy birthday @shirishkunder...an ok husband but a great father,"" Farah jokingly added."
88,entertainment,We laughed it off: Sonakshi on link-up rumours with Shahid,Vidushi Mishra,"When asked if link-up rumours with Shahid Kapoor when they were filming 2013's 'R... Rajkumar' bothered her, Sonakshi said, ""Shahid and [I] are good friends even today...It never bothered us."" She further said that the two actors used to ""laugh it off"". ""When two single people are shooting, [people] are like...'Chalo let's start a rumour.' It's quite funny,"" Sonakshi added."
89,entertainment,Forever to go: Kim Kardashian on 6th anniversary with Kanye,Vidushi Mishra,"To mark the occasion of her sixth wedding anniversary with Kanye West, Kim Kardashian on Monday took to her social media accounts to post two throwback pictures of herself with the 42-year-old rapper. ""6 years down; forever to go, [u]ntil the end,"" the 39-year-old reality TV personality wrote. Furthermore, Kim shared pictures from her and Kanye's wedding on Instagram story."
90,entertainment,Worked less during 2014-15 as I had suffered ACL injury: Esha ,Vidushi Mishra,"Esha Gupta has revealed she worked less during 2014-15 as she had suffered ACL injury, anterior cruciate ligament tear in the knee. The actress said it took her almost a year to recover because she only relied on physiotherapy and did not undergo surgery. ""It was a very bad situation...whatever I had earned in...beginning, I spent...it on physios,"" Esha added."
91,entertainment,Big salute to you: Dhawan on actor Sonu Sood helping migrants,Ankur Taliyan,"India opener Shikhar Dhawan on Monday took to Twitter to praise actor Sonu Sood for helping stranded migrants reach their homes. ""A big salute to you Sonu Sood for your heroic efforts,"" tweeted Dhawan. Sood recently arranged buses to send migrant workers to their homes in Uttar Pradesh, Bihar, Jharkhand and Karnataka. He has also distributed food to the poor. "
92,entertainment,I started losing my eyesight when I turned 40: Sofia Vergara,Vidushi Mishra,"Sofia Vergara recently revealed despite starting to lose her eyesight when she turned 40, she refused to wear glasses because she felt old. ""One day, my son was like, 'Mom...you look older making that squinting face, putting the phone really far away. You're just getting a double chin by doing that',"" she said. ""I'm like, 'How dare you?'"" Sofia added."
93,entertainment,Told Nawazuddin not to write his autobiography: Wife Aaliya,Vidushi Mishra,"Talking about Nawazuddin Siddiqui's autobiography, wherein he opened up about his past girlfriends, the actor's wife Aaliya said she had warned Nawazuddin against writing about ""someone's personal life"". ""We have also fought over it but he believes that at times such things make you 'mahan (great)',"" she said. ""They don't make you 'mahan' but your character is revealed,"" Aaliya added."
94,entertainment,"Filmmaking to be different, expensive post lockdown: Dholakia",Vidushi Mishra,"Rahul Dholakia has said filmmaking in the post-lockdown world will be expensive, adding, ""Sanitising...even the smallest of things...will lead to more expenses."" ""We have...teams doing different jobs simultaneously, but now...everyone will come one by one to do their job,"" the filmmaker further said. Adding that everything will be compartmentalised, Dholakia said, ""Filmmaking will be different."""
95,entertainment,I used to be so concerned with 'Am I a good actor?': Reese,Vidushi Mishra,"Reese Witherspoon has shared she used to be worried all the time in the initial years of her career. ""I used to be...concerned with, 'Am I a good actor? Do people take me seriously?...Am I not funny?' Now, I'm just calm,"" she added. Stating that she feels much more centred now, Reese said, ""I'm having the time of my life."""
96,entertainment,Shah Rukh told me my character in Betaal scared him: Suchitra,Vidushi Mishra,"Suchitra Pillai, who played Commandant Tyagi in Shah Rukh Khan-produced web series 'Betaal', has said, ""[Khan] told me my character scared him. I was like, 'Yay'."" The 49-year-old actress further said that Khan is ""class personified"". ""[Once]...he saw me sitting in the corner and left everyone...came straight up to me and asked me how I was doing,"" Suchitra recalled."
97,entertainment,I kissed quite a few frogs before I met my husband: Ellie,Vidushi Mishra,"Ellie Goulding recently revealed that she ""kissed quite a few frogs"" before she met husband Caspar Jopling. ""That sounds harsh but that's the best way to say it because I did have a few relationships before Caspar that I thought at the time were amazing,"" the 33-year-old singer said. Reportedly, Ellie had dated Prince Harry and Ed Sheeran, among others."
98,entertainment,Producers Guild prepares guidelines on COVID-19 prevention,Vidushi Mishra,"Producers Guild of India (GUILD) on Monday tweeted the link to its Standard Operating Procedure (SOP) on technical and organisational measures for coronavirus contagion prevention, that will be followed when they are permitted to resume shooting. Furthermore, the GUILD thanked Maharashtra Chief Minister Uddhav Thackeray ""for considering requests from the film & TV industry to resume work safely""."
